property_id,address,city,state,zip_code,property_type,price,bedrooms,bathrooms,square_feet,year_built,listing_date,Parking spots,agent_name,agent_email
1,6 Sundown Point,Conroe,Texas,77305,Independent Floor,650601,2,3,3868,1918,7/4/2022,1,Giustina Broadberry,gbroadberry0@netvibes.com
2,00370 Michigan Lane,Shawnee Mission,Kansas,66225,Apartment,426636,2,1,4425,1979,11/25/2020,3,Alikee Kilbane,akilbane1@wp.com
3,7 Glacier Hill Way,Paterson,New Jersey,7544,Apartment,272693,3,4,698,1957,2/24/2023,2,Lee McTurk,lmcturk2@timesonline.co.uk
4,48865 Morning Park,Tucson,Arizona,85720,Villa,890625,4,2,4429,1941,4/15/2021,2,Clarice Fossick,cfossick3@cocolog-nifty.com
5,15695 Stang Way,Spokane,Washington,99252,Apartment,719842,3,4,4901,2001,3/30/2022,2,Albertine Wharton,awharton4@cdc.gov
6,98066 La Follette Drive,Phoenix,Arizona,85030,Apartment,666548,1,2,4446,1983,1/6/2022,2,Jard Blewmen,jblewmen5@paypal.com
7,41766 Wayridge Center,Reading,Pennsylvania,19610,Condo,234930,2,2,1464,1932,3/6/2022,3,Elmo Satteford,esatteford6@php.net
8,7523 Arizona Pass,Jefferson City,Missouri,65110,Condo,827414,4,4,2031,1910,9/6/2021,3,Salem Mandifield,smandifield7@yale.edu
9,04877 Village Green Crossing,Boulder,Colorado,80328,Independent Floor,213251,2,2,4125,1954,8/20/2022,3,Rowney Yitzowitz,ryitzowitz8@mac.com
10,6181 Dakota Way,Inglewood,California,90398,Condo,776692,5,4,1855,2017,7/16/2021,3,Pennie Bouzek,pbouzek9@drupal.org
11,854 Rigney Alley,Indianapolis,Indiana,46231,Villa,853518,2,2,537,1931,8/17/2022,2,Stephine Rennocks,srennocksa@hud.gov
12,98768 Duke Plaza,Mount Vernon,New York,10557,Independent Floor,459831,5,1,2738,1936,7/3/2023,4,Bastian Corssen,bcorssenb@nymag.com
13,678 Mifflin Court,Naples,Florida,34108,Condo,704974,4,3,1325,2001,6/16/2023,4,Riordan Fackney,rfackneyc@vistaprint.com
14,54 La Follette Hill,Olympia,Washington,98516,Villa,186114,4,3,2592,2014,5/20/2022,2,Desmund Di Ruggero,ddid@dion.ne.jp
15,472 International Road,Lancaster,Pennsylvania,17622,Independent Floor,540248,4,1,2725,1933,8/11/2022,1,Cissiee Eglese,ceglesee@liveinternet.ru
16,46311 Starling Drive,Fayetteville,North Carolina,28314,Independent Floor,392377,1,3,3777,1982,5/29/2023,1,Berri Leyes,bleyesf@feedburner.com
17,8 Rusk Crossing,Cincinnati,Ohio,45249,Villa,160856,5,3,3783,1991,3/29/2021,2,Hubie Petronis,hpetronisg@npr.org
18,2039 Mendota Park,Anderson,Indiana,46015,Condo,267946,2,3,2040,1991,6/18/2023,1,Bari Garfath,bgarfathh@microsoft.com
